,proposed_model,proposed_com,proposed_emb,proposed_textsim,proposed_comemb,proposed_cet
rf,0.05516712379318382,0.034758311993809,0.05025104902026035,0.03043224275384618,0.042520448860994736,0.05620984750017008
logit,0.1156075036075036,0.10115359477124183,0.13588765705838876,0.10180131159163416,0.12278744209007364,0.12226984126984126
ab,0.10130301887654829,0.14785134888617862,0.1552805802762203,0.12187166907166908,0.1425348162235654,0.1360084395268471
nn,0.03,0.02857142857142857,0.04904761904761904,0.0125,0.043,0.0845501253132832
rf,0.04,0.04,0.048000000000000015,0.048,0.039999999999999994,0.044000000000000004
logit,0.16800000000000004,0.192,0.14000000000000004,0.16800000000000004,0.16400000000000006,0.18800000000000006
ab,0.18399999999999994,0.19399999999999998,0.16200000000000006,0.14400000000000004,0.13600000000000004,0.13800000000000007
nn,0.17200000000000007,0.16000000000000003,0.23199999999999998,0.16400000000000006,0.18400000000000002,0.16800000000000007
rf,0.03878038806370818,0.04025089475368866,0.05169328135826445,0.05075617662282324,0.041250382829644376,0.04487121260878545
logit,0.15584592226332228,0.1893975583455346,0.13929329195720808,0.1579118882518663,0.15736842435934054,0.18289180164144095
ab,0.19717187578661613,0.20560028443622932,0.17657301358289085,0.14340881783107962,0.14214459842672675,0.14284556713499533
nn,0.17838236097166077,0.16465008387054172,0.2426255049613204,0.16583642169015494,0.1835977302802377,0.17227999168637587
rf,0.046000000000000006,0.04100000000000001,0.048999999999999995,0.053,0.03900000000000001,0.04700000000000002
logit,0.15999999999999992,0.1979999999999999,0.16599999999999998,0.148,0.19399999999999992,0.15599999999999997
ab,0.16899999999999996,0.1519999999999999,0.14999999999999994,0.13699999999999998,0.144,0.14399999999999996
nn,0.19199999999999995,0.158,0.214,0.18600000000000003,0.17,0.15
rf,0.04336223506710565,0.04084791419599724,0.05081743183972076,0.05358138274971806,0.039990633070435315,0.04723349935379128
logit,0.15463839514032707,0.1946386191053107,0.15831316286030345,0.14784811107413948,0.18058501527872295,0.16207443876792746
ab,0.18110812897384357,0.1712500254644263,0.16314012548543266,0.1392461793432263,0.14671315708710567,0.14556251625647007
nn,0.1907873585433813,0.16266091342475472,0.22592516404719148,0.1804920154059536,0.17515914415764736,0.15825598113230208
rf,0.048000000000000015,0.046800000000000015,0.05560000000000003,0.060800000000000035,0.049200000000000015,0.04080000000000002
logit,0.13120000000000007,0.15520000000000006,0.14240000000000008,0.11640000000000005,0.16080000000000008,0.14320000000000008
ab,0.12760000000000005,0.12600000000000006,0.13320000000000007,0.12000000000000006,0.12560000000000004,0.13120000000000007
nn,0.1552000000000001,0.16160000000000008,0.17680000000000004,0.15280000000000007,0.15760000000000007,0.13800000000000007
rf,0.04570272016275373,0.04589345152698271,0.05508820084823109,0.05918229886667336,0.047172373289495556,0.04234905834377924
logit,0.13625126128737222,0.16454960585997633,0.14422339335958914,0.1244445869226014,0.1620813507170267,0.1492657861263488
ab,0.1444622436118389,0.14351325862652703,0.14509242059289357,0.1260274859806134,0.1322288714949254,0.13563597951498452
nn,0.16358513150056328,0.16364156611034456,0.19306381022306007,0.15822003665333456,0.16336582437605834,0.14574839967915076
rf,0.00561136314016427,0.004391890462591769,0.006634850765468653,0.0042933324222789015,0.005486982483169488,0.003836322561013364
logit,0.004953756680557997,0.0036864528175625023,0.005557617254117154,0.006155212210103741,0.006305390710820891,0.004626312544172288
ab,0.008469358458034293,0.010342654879411986,0.01733888705975534,0.008461766083064504,0.01656143624558175,0.01821928521326871
nn,0.0003471074380165289,0.0007652347652347651,0.0013217322861591636,0.0006168009205983889,0.0012804691582634952,0.00227476433394628
