,BC,GD,MB,PM,AGG
n,16114.0,2246.0,3988.0,497.0,20096.0
m,98518.0,3254.0,13079.0,971.0,115084.0
k_mean,12.227628149435274,2.8975957257346394,6.5591775325977935,3.9074446680080483,11.45342356687898
k_max,8334.0,162.0,778.0,100.0,9032.0
std,100.94581421346949,6.041428913766063,31.64764570963319,8.866066076649203,103.07888768418645
cc,0.0,0.0,0.2028081412876069,0.1486462020144537,0.517830290843726
c,16.0,47.0,24.0,39.0,51.0
assortativity,-0.21179023785921747,-0.1395271709515837,-0.3575372632398931,-0.20829285139249054,-0.21791207295357012
n_giant,16057.0,2121.0,3820.0,412.0,19840.0
m_giant,98474.0,3175.0,12934.0,924.0,114876.0
