,Aggregated_new_edges,BC_new_edges,GD_new_edges,MB_new_edges,PM_new_edges
0,272,58,18,192,12
1,366,40,86,226,26
2,352,54,32,252,22
3,208,58,20,116,22
4,180,20,10,144,16
5,246,38,24,180,8
6,278,38,28,206,20
7,242,24,10,194,22
8,310,62,14,224,22
9,260,40,12,200,16
10,234,28,30,168,12
11,194,52,16,122,8
12,124,24,2,92,10
13,220,56,8,144,28
14,222,68,10,136,14
15,158,56,6,94,4
16,220,56,2,146,18
17,192,44,8,134,6
18,194,40,38,116,2
19,164,34,8,120,2
20,148,58,4,78,16
21,224,74,8,138,4
22,200,42,2,150,16
23,160,42,16,88,24
24,230,82,8,128,14
25,184,26,22,134,2
26,132,32,16,80,6
27,236,72,32,126,8
28,156,36,8,100,14
29,224,28,4,178,24
30,192,24,8,158,12
31,218,42,18,154,18
32,242,26,18,198,8
33,242,40,10,186,28
34,244,40,8,194,4
35,276,54,12,198,18
36,122,22,18,76,8
37,190,46,0,142,10
38,156,20,4,120,24
39,176,36,8,128,8
40,276,24,26,220,12
41,182,56,6,118,4
42,288,42,8,228,16
43,120,18,4,94,10
44,238,46,12,170,14
45,242,62,24,148,10
46,202,56,8,132,6
47,188,38,4,142,18
48,154,42,2,102,14
49,230,42,24,158,12
